Temperature,Jsc 2,Jsc3,Voc2,Voc3,FF1,FF2,FF3,Hysteresis2,Hysteresis3,Jsc4,Voc4,FF4,Hysteresis4,PCE4
20,0.99284,0.99284,0.9901,0.99043,1.00477,1.00482,1.00498,1.03238,1.03286,0.99282,0.9906,1.00504,1.03314,0.98849
20,0.99284,0.99282,0.99043,0.9906,1.00482,1.00498,1.00504,1.03286,1.03314,0.9928,0.99057,1.00502,1.03338,0.9887
20,0.99282,0.9928,0.9906,0.99057,1.00498,1.00504,1.00502,1.03314,1.03338,0.99281,0.99092,1.00518,1.03389,0.98889
20,0.9928,0.99281,0.99057,0.99092,1.00504,1.00502,1.00518,1.03338,1.03389,0.99281,0.99127,1.00534,1.03445,0.9891
20,0.99281,0.99281,0.99092,0.99127,1.00502,1.00518,1.00534,1.03389,1.03445,0.99281,0.99158,1.00546,1.03478,0.98932
20,0.99281,0.99281,0.99127,0.99158,1.00518,1.00534,1.00546,1.03445,1.03478,0.9928,0.9917,1.00552,1.03499,0.98954
20,0.99281,0.9928,0.99158,0.9917,1.00534,1.00546,1.00552,1.03478,1.03499,0.99279,0.99194,1.00562,1.03531,0.98978
20,0.9928,0.99279,0.9917,0.99194,1.00546,1.00552,1.00562,1.03499,1.03531,0.99277,0.99204,1.00569,1.03551,0.99004
20,0.99279,0.99277,0.99194,0.99204,1.00552,1.00562,1.00569,1.03531,1.03551,0.99277,0.99216,1.00575,1.03572,0.99034
20,0.99277,0.99277,0.99204,0.99216,1.00562,1.00569,1.00575,1.03551,1.03572,0.99278,0.99227,1.0058,1.03591,0.99066
20,0.99277,0.99278,0.99216,0.99227,1.00569,1.00575,1.0058,1.03572,1.03591,0.99276,0.99237,1.00586,1.03608,0.99101
20,0.99278,0.99276,0.99227,0.99237,1.00575,1.0058,1.00586,1.03591,1.03608,0.99275,0.99273,1.00604,1.03642,0.99141
20,0.99276,0.99275,0.99237,0.99273,1.0058,1.00586,1.00604,1.03608,1.03642,0.99274,0.99284,1.00611,1.03654,0.99185
20,0.99275,0.99274,0.99273,0.99284,1.00586,1.00604,1.00611,1.03642,1.03654,0.99273,0.99294,1.00618,1.03674,0.99233
20,0.99274,0.99273,0.99284,0.99294,1.00604,1.00611,1.00618,1.03654,1.03674,0.99273,0.99306,1.00626,1.03687,0.99288
20,0.99273,0.99273,0.99294,0.99306,1.00611,1.00618,1.00626,1.03674,1.03687,0.99272,0.99345,1.00645,1.03725,0.99347
20,0.99273,0.99272,0.99306,0.99345,1.00618,1.00626,1.00645,1.03687,1.03725,0.99273,0.99408,1.0067,1.03776,0.99409
20,0.99272,0.99273,0.99345,0.99408,1.00626,1.00645,1.0067,1.03725,1.03776,0.99273,0.99436,1.00687,1.0381,0.9948
20,0.99273,0.99273,0.99408,0.99436,1.00645,1.0067,1.00687,1.03776,1.0381,0.99273,0.99501,1.00714,1.03868,0.99555
20,0.99273,0.99273,0.99436,0.99501,1.0067,1.00687,1.00714,1.0381,1.03868,0.99274,0.99535,1.00733,1.03907,0.99633
